Mata_Pelajaran|Topik|Nomor_Soal|Pertanyaan|Opsi_A|Opsi_B|Opsi_C|Opsi_D|Opsi_E|Kunci_Jawaban|Pembahasan
Pengetahuan dan Pemahaman Umum|Day 6|15|According to Text 1, hydrogen dissociation is important in the diamond growth process because it …|can be accelerated using methane to form NV centers without damaging the diamond’s surface|can react with acetylene to produce soot that can grow diamonds at low tempe- ratures|produces soot that accelerates diamond growth at relatively low temperatures|can react with methane to prevent the formation of soot, which is toxic to dia- mond growth|converses methane into acetylene and delivers atomic hydrogen to the diamond growth surface|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|16|The word They in Text 2 Paragraph 1 refers to …|hard materials|atoms|temperatures and pressures|diamonds|electronics|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|17|Informations about types of carbon products that are harmful to health can be found in …|Text 1 Paragraph 1 and Text 2 Paragraph 1|Text 1 Paragraph 2 and Text 2 Paragraph 2|Text 1 Paragraph 3 and Text 2 Paragraph 1|Text 1 Paragraph 3 and Text 2 Paragraph 3|Text 1 Paragraph 4 and Text 2 Paragraph 4|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|18|What is the relationship between Text 1 and Text 2?|Text 1 explains two types of carbon structure, and the growth process of soot is discussed in Text 2.|Text 2 highlights the forms of carbon structure, while Text 1 illustrates the growth process of one of the forms.|Text 2 outlines the utilization of one type of carbon structure in the electronics industry described in Text 1.|Both texts explain the use of methane gas and acetylene gas in the low-temperature diamond growth process.|Both texts explain the process of diamond growth for use in the electronics in- dustry.|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|19|Based on the two texts, which of the following will most likely happen in the future?|The use of diamond in the electronics industry will become more widespread in line with the development of low-temperature diamond growth methods.|The nitrogen-vacancy centers will be used in quantum computing industries to create an efficient mechanism of low temperature diamond growth.|The use of soot as a raw material for electronic components will increase due to the successful growth of diamond at low temperatures.|Methane and acetylene gases will increasingly be used along with hydrogen to produce sparkle and expensive jewellery like diamonds.|Soot, another form of carbon, will be widely produced by burning wood or coal and will be used in car exhausts.|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|20|Based on Text 1 and Text 2, which of the following recommendations is appropriate to be implemented?|Diamonds should be widely used in jewellery industry due to their mechanical properties as hard materials and excellent heat conductors.|The low-temperature soot fabrication process should be continuously developed for its application in the production of electronic components.|The low-temperature diamond fabrication process should be continuously deve- loped for wide applications of diamond materials in electronic goods.|Hydrogen dissociation should be used in transporting methane into acetylene gas as a catalyst in the process of the diamond growth at low temperatures.|The use of hydrogen, methane, and acetylene gases in the low-temperature dia- mond growth process should be reduced due to their dangers to human health. LBE Day 4 Sesi 2 Kaleidoskop I feel so terribly insecure about myself. I don’t know how to get close to people because these huge insecurities always come up. I know I have to keep trying and meet new people but it’s just not getting better. 07-03-2024 Anyone over this phase here? Laura It seems that you focus more on meeting new people without trying to find the root of your insecurities. 07-03-2024 Jacquilien The closest thing I can give you as advice is acceptance. Once you know you cannot push your problems away from you, you will look for ways to work around them. However, the results are not guaranteed to be helpful. 07-03-2024 Fairy Lucretia It may be different for you, but some of my old insecu- rities developed through peer rejection. 07-03-2024 He_Man iA I was an extrovert most of my life, but when I hit middle- age I started experiencing serious social anxiety, inclu- ding dizziness and eye pain etc. I left a public facing job to more solitary work, but I’m finding that baby step social interactions have helped me heal, for example tal- king briefly to librarians, cashiers, etc. 07-03-2024 Clarence788 Agree! Social interactions rebuild confidence but don’t require being deeply invested in a relationship. Once yo- ur social confidence is restored and insecurities decrease, more meaningful relationships become more natural. 07-03-2024 1. Who highlighted the importance of building social connection in order to build self- confidence? (a) Laura (b) Jacquilien (c) Fairy Lucretia (d) He_Man (e) Clarence788 2. The word can in Jacquilien’s post is used to express … (a) an ability (b) a probability (c) an obligation (d) a permission (e) a suggestion 3. Which of the following issues is stated at the beginning of the thread? (a) Efforts of overcoming insecurities (b) Finding ways to get close to people with insecurity (c) Ways to get close to new people in a new environment (d) Solving the problems of insecurities by meeting people (e) Personal insecurity that creates a barrier to meeting new people 4. Who shared the experience as well as solution about social anxiety by giving evidence? (a) Laura (b) Jacquilien (c) Fairy Lucretia (d) He_Man (e) Clarence788 5. The aim of Laura’s response to Kaleidoskop’s post is to … (a) highlight the main factor of insecurity problems (b) help him adjust to a new environment during the process of finding the root of the problem (c) tell him to identify the cause of his problem (d) make him engaged to new people in order to help him heal from the problem of insecurity (e) explain the importance of trying to meet new people 6. Who posted the most relevant response to Kaleidoskop’s post about being hard to meet people because of personal insecurities? (a) Laura (b) Jacquilien (c) Fairy Lucretia (d) He_Man (e) Clarence788 7. What is the tone of the thread? (a) Speculative (b) Reflective (c) Forceful (d) Assertive (e) Emotional Text 1 In 2024, Europe saw more anti-tourism protests as locals showed frustration with the harm mass tourism had caused. In places like the Canary Islands, residents protested against crowded spaces. In Barcelona and Mallorca, locals took symbolic actions. They sprayed tourists with water pistols and filled beaches to show how packed they felt. Many European cities have since set new rules. These range from selfie restrictions to entry fees to control visitor numbers. In Lapland, even winter tourism faced pushback as locals spoke out about its harm to the environment. Tourism is set to grow, with Spain and France expecting record visitors in 2025. Cities are trying to find ways to balance the needs of residents and protect the environment. Some cities are trying new ways to manage tourism better. For example, Copenhagen’s CopenPay project rewards travellers with free entry to cultural sites if they show eco-friendly behaviors. In other places, countries like Italy, Bhutan, and New Zealand have raised tourism taxes. This is to limit visitor numbers and help fund eco-friendly tourism. Many locals have also opposed short-term rentals, and cities like Athens and Barcelona are cutting down on them. This is making cheap rentals harder to find in busy areas. To ease crowding, travel groups are promoting less popular spots. They urge tourists to explore beyond the main attractions. People who promote eco-friendly travels suggest that travelers look into new places and choose paths that are not as crowded. This way, they can enjoy more genuine and quieter experiences. (Adapted from https://www.bbc.com/) Text 2 Barcelona’s rise as a top tourist destination began with the 1992 Olympics. The city has been improving its beaches and promoted its Mediterranean charm. Today, around 32 million tourists visit each year. Many stay only briefly or arrive on cruise ships. They crowd popular spots like La Rambla and the Sagrada Familia. This creates congestion and an uncomfortable experience for locals and other visitors. Tourists primarily spend money in these central areas, benefiting only a small part of the city. It is unfortunate that tourism has driven up housing prices. Short-term rentals, often through online marketplace, have made it hard for locals to afford rent. Many are forced to move out of the city. Mayor Ada Colau has spoken out, saying tourism is hurting residents’ quality of life. A survey from 2015 showed problems like overcrowding, loss of local identity, and low-paying jobs in tourism. These issues have made daily life harder for many residents. Rising rents have also led to more empty apartments owned solely for tourism. As tourist-focused businesses replace local shops, the neighborhoods feel different. Locals feel like their city is becoming less for them and more for visitors. They feel frustrated that their city seems to cater mostly to tourists. (Adapted from https://www.responsibletravel.com/) 8. According to Text 1, what action did some locals take in Barcelona and Mallorca to protest the effects of mass tourism? (a) Organizing anti-tourism marches (b) Blocking major tourist attractions (c) Spraying tourists with water pistols (d) Holding online campaigns against tourism (e) Distributing leaflets to tourists about responsible travel 9. The phrase cutting down in Text 1 Paragraph 2 is closest in meaning to … (a) increasing (b) seeking (c) accumulating (d) adding (e) reducing|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|10|Which of the following is the best main idea of Text 1? European cities are implemen- ting strategies to …|promote their historical and cultural sites more effectively|make tourism more affordable for locals and visitors|attract more international tourists each year|mitigate the negative impacts of tourism|improve the quality of life for tourists|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|11|Which of the following best restates the statement ”Tourists primarily spend money in these central areas, benefiting only a small part of the city.” in Text 2 Paragraph 1?|Tourist spending is evenly distributed across the city, helping all neighborhoods.|The majority of tourist money is invested back into residents in central areas.|Most of tourist spending is enjoyed by limited part of the city.|Most of the money tourists spend goes to areas outside the city center.|Tourists rarely spend money in central areas, leading to economic decline.|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|12|The purpose of Text 2 is to …|highlight the challenges brought by tourism to Barcelona residents|outline the historical development of Barcelona as a tourist destination|promote tourism in lesser-known areas of Barcelona|explain how Barcelona has adapted its infrastructure to support tourism|describe the benefits of tourism for Barcelona’s economy|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|13|Which of the following statements from Text 2 shows the author’s negative attitude toward the impacts of tourism on Barcelona?|Barcelona’s rise as a top tourist destination began with the 1992 Olympics. (Pa- ragraph 1)|Today, around 32 million tourists visit each year. (Paragraph 1)|Many stay only briefly or arrive on cruise ships. (Paragraph 1)|Tourists primarily spend money in these central areas, benefiting only a small part of the city. (Paragraph 1)|It is unfortunate that tourism has driven up housing prices. (Paragraph 2)|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|14|Which of the following is the best synthesis of the two texts?|The economic benefits of tourism are celebrated as positive impacts on European neighboring cities.|Mass tourism has led to growing discontent among locals due to its negative impacts.|Challenges exist in promoting eco-friendly tourism as the sole approach to travel.|Various cultural programs have been developed by cities to attract more tourists.|Efforts are being made by cities to enhance tourist satisfaction and experiences. Text 1 Researchers in the Solomon Islands have found what they believe as the world’s largest coral colony. This enormous coral, made up of millions of tiny animals called polyps, measures 34 meters wide and 32 meters long-so big that it can be seen from space. This giant coral is a rare and extraordinary finding, showcasing the beauty and vulnerability of coral ecosystems in a rapidly changing world. Unlike typical coral reefs, which are made of many distinct colonies, this one is a single organism. The coral, a species called Pavona clavus, looks like a lumpy brown mound with hints of yellow, green, and purple. It is likely several centuries old due to its slow growth. ”When Napoleon was alive, this coral was already here,” said a marine biologist, Manu San Felix, who discovered it last month. Coral reefs worldwide are vanishing as climate change warms the oceans. Corals rely on algae living inside them for food and color, but when water temperatures rise, the algae leaves, causing the corals to turn white in a process called bleaching. Without the algae, the corals starve and die. Text 2 iA (Adapted from https://www.vox.com/) Aiyana James attended her first water potato harvest on the Coeur d’Alene Tribe’s land in Idaho last October. Despite the excitement, the weather was colder than usual, and early snow affected the harvest. ”I know that this isn’t supposed to be how it is,” James said. ”Deep down within me, I’m like, ’This just doesn’t feel right.’” The harvest was bad, which has been happening more often in recent years due to dry summers and extreme weather. Water potatoes, a key traditional food, have been disappearing along with other plants like camas. This is because of past damage to the land, especially due to a 1909 law that took away tribal lands, and the effects of climate change. Salmon and trout disappeared from streams, wildfires became more frequent, and essential foods became harder to find. The Coeur d’Alene Tribe has been fighting against these problems for years. Now, Aiyana James has joined the fight as one of the tribe’s first climate resilience coordinators, working to protect the land and helping the tribe adapt to the changing environment. (Adapted from https://www.vox.com/) 15. According to Text 1, what is NOT the characteristic of the newly discovered Pavona clavus? It … (a) has colors like yellow, green, and purple (b) is 34 meters wide and 32 meters long (c) consists of multiple different colonies (d) is an individual creature (e) grows at a slow pace|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|16|The word This in Text 2 Paragraph 2 refers to …|the disappearance of water potatoes and camas|the first water potato harvest of Aiyana James|the 1909 law that took away tribal lands|Aiyana James’ arrival to the tribal lands|the bad weather during the harvest|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|17|According to the texts, information about the effects of climate change to the enviro- nment can be found in …|Text 1 Paragraph 1 and Text 2 Paragraph 2|Text 1 Paragraph 1 and Text 2 Paragraph 3|Text 1 Paragraph 2 and Text 2 Paragraph 1|Text 1 Paragraph 2 and Text 2 Paragraph 3|Text 1 Paragraph 3 and Text 2 Paragraph 2|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|18|What is the relationship between Text 1 and Text 2?|Text 1 focuses on traditional practices in the Solomon Islands whose examples are elaborated in Text 2.|Text 1 is about marine biology, and Text 2 provides the example in Coeur d’Alene Tribe.|Both texts describe the direct impact of human actions on the environment.|Both texts explore the effects of climate change on the ecosystems.|Both texts discuss the maintenance of ecosystems.|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|19|Based on the two texts, which of the following will most likely happen in the future?|Scientists will introduce a new species of algae into the ocean to maintain water temperature.|More ecosystems will disappear because of the slow progress in fighting climate change.|Coral reefs will immediately recover because more people will fight climate change.|Coeur d’Alene Tribe will abandon the farm and start an urban lifestyle.|Water potatoes will extinct because climate change is unstoppable.|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|20|Based on Text 1 and Text 2, which of the following recommendations is appropriate to be implemented?|Farmers should increase the use of chemical fertilizers to improve food production.|The traditions of the Coeur d’Alene Tribe should be preserved as a model for other tribal lands.|Immediate actions should be taken to protect coral ecosystems and traditional foods from climate change effects.|All human activities around coral reefs and tribal lands should be stopped to prevent environmental damages.|Government should promote the use of traditional methods in food harvesting. LBE Day 5 Barbarra What’s wrong about being a fan of multiple teams? What’s your thou- 12-10-2024 ghts about it? Alexis Reeves Some people think it’s problematic for conflict of interests. If your teams 12-10-2024 play against each other, you might feel hard to choose which team to support. Keaton Young However, many people also enjoy being fans of multiple teams for various 12-10-2024 reasons, such as personal connections, regional ties, or simply enjoying the sport itself. Fandom is a personal experience, and what matters most is the enjoyment it brings to the fans. Mark Kappe Younger people can develop a strong connection with their favorite te- 13-10-2024 ams. It’s good to follow the ups and downs of their teams and keep on supporting them. Kummardev Parthak 13-10-2024 But let me tell you one thing, one can support as many teams as they want but that’s not just what a true fan does. It’s more like a decision we take. Think a thousand times before picking one but never look back ones you have chosen. Chris Barrera As a kid in the 1970’s growing up in the NY area, most boys, including 16-10-2024 me, liked either the Jets or Giants, because both teams consistently performed well. We also had another more successful NFL team we liked even more. 1. Who argued that the most important thing as a fan was to get the pleasure from it? (a) Alexis Reeves (b) Keaton Young (c) Mark Kappe (d) Kumardev Pathak (e) Chris Barrera 2. The word can Mark Kappe’s post is used to express ... (a) a certainty (b) a necessity (c) a possibility (d) a suggestion (e) an obligation 3. Which of the following issues is stated at the beginning of the thread? (a) The inappropriateness of being in multiple teams (b) The acceptability of supporting more than one team (c) The problem of being loyal to the fandom of one team (d) What is wrong about being a life-time supporter of a team (e) The possibility of supporting other people’s favorite teams 4. Who posted the most irrelevant response to Barbarra’s post about the problem of being a fan of multiple teams? (a) Alexis Reeves (b) Keaton Young (c) Mark Kappe (d) Kumardev Pathak (e) Chris Barrera 5. Who provided evidence that there was no problem of being fans of multiple teams? (a) Alexis Reeves (b) Keaton Young (c) Mark Kappe (d) Kumardev Pathak (e) Chris Barrera 6. The aim of Kumardev Pathak’s response to Barbarra’s post is to … (a) highlight the value of a loyal fan (b) show why we can support many teams (c) explain valued reasons before making a decision (d) show how to be a fan of multiple teams in one time (e) suggest ways to take before deciding to support a team 7. What is the tone of the thread? (a) Determined (b) Persuasive (c) Assertive (d) Reflective (e) Speculative Text 1 Hidden fees are those annoying extra charges that companies often slip into the fine print. These extra charges often catch consumers of guard. These fees can go by different names, like administrative, processing, or service charges. But no matter the label, they can add up fast, leaving customers paying much more than they expected. Hidden fees are often seen as descriptive because they hide the real cost of a product or service. This lack of transparency stops consumers from making fully choices. The impact of hidden fees goes beyond just a surprise on the bill. They erode consumer trust. This erosion of trust in turn makes people wary of engaging with brands that use these tactics. Over time, this can harm a company’s reputation, leading to a loss of consumer loyalty and negative word-of-mouth. Regulators have responded, with consumer protection agencies now requiring businesses to clearly list all mandatory fees upfront. Companies that fail to comply can face fines and legal consequences, ending more risk to this practice. From an ethical standpoint, hidden fees raise serious question. They often impact vulnerable consumers the most. Unfortunately, these vulnerable consumers are those who may struggle with complex pricing. To build and keep trust, companies are encouraged to be clear and open about all fees. By following ethical pricing practices, brands can build lasting relationship with consumers. This approach helps protect their reputation and makes them stand out in a marketplace where honestly and clarity are valued more than ever. Text 2 Since July 1, 2024, California has enforced Senata Bill 478 (SB 478). This new law bands hidden fees for goods services. This is good news. It takes aim at ”drip pricing,” where businesses advertise a low price but add mandatory fees checkout. Now, business must show all required fees in the advertised price. Nevertheless, government fees and some snipping charges. Guidance from the attorney General’s office clarifies that advertised prices must reflect the total cost consumers will pay. For instance, handling fees are part of the advertised price, but reasonable shipping can be separate. Restaurant must include automatic service fees in their listed prices. SB 478 prevents businesses from adding unexpected fees at checkout. However, it does not restrict them from offering discounts or charging less than the advertised price. 8. According to Text 1, why are hidden fees considered deceptive? They … (a) mislead customers about the true costs (b) are only added to luxury products and services (c) Increase existing trust between consumers and companies (d) Are often required by government regulations (e) Benefit customers only 9. The phrase consumer trust in Text 1 Paragraph 2 is closest in meaning to . . . (a) Customer faith (b) Buyer awareness (c) Client confidence (d) Client expectation (e) Customer credibility|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|10|Which of the following is the best main idea of Text 1? Hidden fees . . .|Improve the relationship between consumers and companies by reducing cost clarity|Force companies to compromise their transparency to cover additional expenses|Negatively impact consumers and businesses so companies need to provide clear information|Minimally affect consumer trust and rarely damage brand reputation|Primarily harm luxury service providers without affecting regular customers|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|11|Which of the following best restates the statement ”Consumers must first notify the business and allow 30 days to correct any issues before filing a lawsuit.” in Text 2 Paragraph 2? Consumers . . .|have 30 days to gather evidence before taking legal action|can file a lawsuit immediately after discovering hidden issues in 30 days|need approval from the business within 30 days before pursuing legal steps|must give a notification to the business within 30 days period to fix the issue before suing|are allowed to apply for the 30-day period of lawsuit before fixing the issues together with business owners|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|12|The purpose of Text 2 is to …|Explain how to avoid mandatory fees in advertised prices|Argue against transparent pricing practices in California|Provide a guide on filling lawsuits against business|Describe California’s new law banning hidden fees|Highlight the benefits of hidden fees|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|13|Which of the following statements from Text 2 shows the author’s positive attitude toward the new law?|Since July 1, 2024, California has enforced Senate Bill 478 (SB 478). (Paragraph 1)|This is good news. (Paragraph 1)|Nevertheless, government taxes and shipping costs are exempted from the requi- rement. (Paragraph 2)|SB 478 sets clear consequences for violators. (Paragraph 2)|Restaurants must include automatic service fees in their listed prices. (Paragraph 3)|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|14|Which of the following is the best synthesis of the two texts?|Business can use hidden fees as long as they are disclosed|Hidden fees primarily affect luxury industries, so regular consumers face minimal impact.|Hidden fees are necessary for businesses to cover costs, but transparency can reduce consumer dissatisfaction.|Hidden fees are common in business practices and generally have little effect on consumers.|Hidden fees harm consumers, leading to a new regulation and an increased trans- parency. Text 1 Yoghurt, kombucha, kimchi, and tempeh are types of fermented food. They are made through a process involving controlled microbial growth. These microbes in fermented foo- ds are called probiotics. Foods with live microbes contribute to enhancing gut microbiota diversity, which is essential for maintaining gut health. In recent years, research has also shown that the gut microbiota can affect our mental health, influencing conditions like anxiety and depression. These conditions have become a significant concern worldwide, and also led to a huge medical burden and economic loss. The gut microbes affect the brain in many ways. They communicate with the brain through a nerve and can also impact the immune system, Moreover, microbes in the gut can control the production of important brain chemicals like serotonin and dopamine, which influence mood and behavior. To keep your gut bacteria thriving, you can eat probiotic-rich foods. Moreover, eating a balanced diet that contains plenty of fruits and vegetables, and tasty apices like turmeric and chili peppers will also improve your gut health. It might also help you feel better mentally. Text 2 A healthy drink company has introduced a new drink called YoPeech Plus in some co- untries. This delicious peach-flavored drink is not only tasty but also healthy, as it supports digestion and boosts your immune system. Each 65 ml bottle contains billions of Lactobaci- llus (L. casei) strain Shirota bacteria, which are great for gut health, along with vitamin C to help reduce fatigue and keep you healthy. A study in 2016 showed that drinking probiotics like L. casei Shirota every day can help keep the bacteria in your gut diverse and may reduce stress-related stomach problems. This means YoPeach Plus is not just a tasty drink. It can also help you feel better during stressful times. YoPeach Plus is also a lighter option for those who are health-conscious. It has 7096 less sugar and 339% fewer calories than YoPeach Original. Plus, it is vegetarian-friendly and gluten-free, so more people can enjoy it. The Managing Director for VoPeach, said the company had done great work to make drinks that taste great and improve health, YoPeach Plus is part of their mission to create easy, healthy options for everyone’s daily routine. 15. The word it in Text 2 Paragraph 1 refers to . . . (a) YoPeach (b) YoPeach Plus (c) Lactobacillus (L. casei) (d) immune system (e) vitamin C|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|16|According to Text 1, which one of these is NOT a fermented food?|Tempeh|Kombucha|Yoghurt|Chili peppers|Kimchi|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|17|According to the texts, information about the benefits of probiotics for gut health can be found in . . .|Text 1 Paragraph 1 and Text 2 Paragraph 2|Text 1 Paragraph 1 and Text 2 Paragraph 3|Text 1 Paragraph 2 and Text 2 Paragraph 2|Text 1 Paragraph 2 and Text 2 Paragraph 4|Text 1 Paragraph 3 and Text 2 Paragraph 3|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|18|Based on the two texts, which of the following will most likely happen in the future?|Foods and drinks containing probiotic will be produced in larger quantity due to their benefits for health.|Health problems related to gut and brain will be frequently associated with mental illness.|Mental illness will obtain more attention as they are related to gut and brain.|People will eat more fermented foods to maintain good body weight.|Probiotics will become rare because they will be used excessively|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|19|Based on Text 1 and Text 2, which of the following recommendations is appropriate to be implemented?|Foods containing probiotics should be consumed to obtain balanced serotonin and dopamine.|Medical practitioners and food companies should pay more attention on mental health.|Probiotics should be used in producing supplementary foods and drinks for health.|Fermented foods should be produced for the consumption of people with mental illness.|Community members should consume foods containing probiotics to reduce stres- sful times.|N/A|
Pengetahuan dan Pemahaman Umum|Day 6|20|What is the relationship between Text 1 and Text 2?|Text 1 discusses fermented foods explained in detail in Text 2.|Text 1 shows how probiotic can make people healthy and the examples are given in Text 2.|Text 1 suggests that there is a connection between food and brain, similar to the explanation in Text 2.|Both texts show the advantages and disadvantages of eating probiotic foods for physical health.|Both texts illustrate the benefits of consuming probiotics for gut and mental health. m Penalaran Matematika Determination, the power within, will help us all win this one fight. PM Day 1 Sesi 1 Teks 1 Pertemuan keluarga RT IX dihadiri oleh 15 laki-laki dan 10 perempuan. Pada pertemuan ini setiap keluarga diwakili satu orang. Salah satu agenda pertemuan tersebut adalah memilih pengurus RT baru yang terdiri atas ketua, bendahara, dan sekretaris. Tiga calon diambil di antara yang hadir. Pemilihan dilakukan secara acak. 1. Banyak cara terpilihnya pengurus dengan sekretaris perempuan adalah . . . (a) 5.400 (b) 5.520 (c) 5.750 (d) 5.760 (e) 6.000 iA 2. Untuk memeriahkan suasana pertemuan, dipilih empat orang untuk menyanyi. Pelu- ang yang terpilih keempatnya perempuan adalah . . . 16 4 21 4 10 (a) (b) (c) (d) (e) 1265 25 1265 15 25 3. Pada pertemuan tersebut juga dipilih tiga orang untuk mewakili RT dalam suatu ke- giatan pada tingkat RW. Peluang terpilihnya satu laki-laki dua perempuan atau dua laki-laki satu perempuan adalah … 3 2 21 27 52 (a) (b) (c) (d) (e) 4 3 46 92 92 4. Peluang terpilihnya sekretaris perempuan dengan ketua dan bendahara berjenis kela- min berbeda adalah . . . 2 2 9 4 9 (a) (b) (c ) (d) (e) 75 25 92 25 46 Teks 2 Kertas berpetak memiliki ukuran 8 × 8 petak. Pada baris pertama, petak pertama, yaitu paling kiri ditulis dengan 1, petak kedua bilangan 2, petak ketiga bilangan 4, petak keempat bilangan 8, demikian seterusnya sampai petak kedelapan ditulis bilangan 128. Pola baris kedua mengikuti pola baris pertama yang dimulai dengan bilangan 256 dan seterusnya sampai baris ke 8. 5. Jika Kn menyatakan bilangan pada petak pertama baris ke n, maka Kn = . . . (a) 2n–1 , n = 1, 2, . . . , 8 (b) 28n–1 , n = 1, 2, . . . , 8 (c) 2n – 1, n = 1, 2, . . . , 8 (d) 28n–8 , n = 1, 2, . . . , 8 (e) 2n 2 – 3n + 2, n = 1, 2, . . . , 8 6. Klik pilihan kolom di sebelah kanan pernyataan yang sesuai dengan jawaban. Ya Tidak Bilangan pada petak ke-3 baris ke-2 adalah 512. Jumlah bilangan pada petak pertama sampai ke-5 baris per- tama adalah 31. Bilangan pada baris ke-8 petak ke-8 adalah 264 . 7. Hasil bagi bilangan pada petak pertama baris ketiga dengan bilangan pada petak kelima baris kedua adalah . . . (a) 4 (b) 8 (c) 16 (d) 32 (e) 64 8. Jika bilangan pada petak ke n baris pertama dibagi dengan 22n–2 , untuk n = 1, 2, 3, . . . , 8, jumlah bilangan pada baris pertama adalah . . . 255 255 127 127 127 (a) (b) (c) (d) (e) 256 128 256 128 64 Teks 3 Pada dinding suatu ruangan dipasang lampu dengan ketinggian 4 m dari lantai ruangan. Sebuah meja berbentuk segitiga ABC ditempatkan di bawah lampu dengan titik A dan B menempel pada dinding. Panjang sisi AB adalah 1 meter dan bayangannya di lantai adalah A0 B 0 dengan panjang m. 9. Tinggi meja adalah . . . meter. (a) 1 (b) 1, 4 (c) 1, 5 (d) 1, 6 (e) 2 10. Jika luas meja adalah 0, 5m 2 , luas bayangan meja di lantai adalah . . . (a) 1 18 6 (b) 1 18 7 (c) 1 18 8 (d) 1 18 9 (e) 1 18 11. Di depan lampu tersebut, seekor belalang terbang lurus sejajar dengan dinding dan lantai pada ketinggian 2 m dari lantai. Jika bayangan belalang di lantai menempuh jarak 4 m dalam waktu 10 detik, jarak sebenarnya yang ditempuh oleh belalang dalam waktu 5 detik adalah . . . meter (a) 1 (b) 1, 25 (c) 1, 5 (d) 1, 75 (e) 2 12. Alas patung ditempatkan di depan lampu dengan jarak 2 meter dari dinding. Tinggi alas patung tersebut 1 meter. Sebuah patung setinggi 1, 5 meter diletakkan di atas alas tersebut. Panjang bayangan patung adalah . . . meter. 14 15 16 17 18 (a) (b) (c) (d) (e) 6 6 6 6 6 Teks 4 Di suatu grosir kelontong dijual sembilan bahan pokok makanan. Salah satu yang dijual oleh pedagang grosir itu adalah gula pasir (dalam satuan kuintal). Data pasokan dari yang terjual tiap hari dalam satu minggu disajikan dalam diagram tersebut. 13. Dari diagram di atas, stok gula yang terbanyak terjadi pada hari … (a) Senin (b) Selasa (c) Rabu (d) Sabtu (e) Minggu 14. Klik pilihan kolom di sebelah kanan pernyataan yang sesuai dengan jawaban. Ya Tidak Jumlah stok terbanyak dalam toko pada Minggu itu adalah 7 kuintal Stok gula dalam satu minggu sebanyak 6 kuintal terjadi pada hari Rabu dan Minggu Rata-rata stok gula per hari dalam toko adalah 4 kuintal 15. Berdasarkan pengalaman, biaya operasional akan tercukupi jika sudah terjual 40% dalam minggu itu. Jika 1 kuintal gula dijual dengan harga Rp150.000,00, keuntungan pedagang dalam minggu itu adalah …juta rupiah (a) 3, 15 (b) 4, 20 (c) 5, 25 (d) 6, 30 (e) 7, 35|N/A|
